# size_bytes, sequential_ns, random_ns, random_index_ns
788480, 0.16, 9.74, 1.98
789504, 0.16, 9.68, 1.88
790528, 0.16, 9.65, 1.77
791552, 0.16, 9.64, 2.82
792576, 0.22, 10.93, 3.57
793600, 0.22, 12.14, 3.32
794624, 0.22, 23.29, 4.56
795648, 0.17, 10.72, 4.78
796672, 0.30, 11.76, 1.79
797696, 0.16, 9.68, 1.92
798720, 0.20, 9.61, 1.90
799744, 0.18, 9.70, 2.06
800768, 0.20, 9.52, 1.76
801792, 0.16, 9.67, 1.73
802816, 0.16, 9.80, 1.77
803840, 0.23, 9.76, 1.90
804864, 0.16, 9.67, 1.81
805888, 0.16, 9.94, 1.77
806912, 0.15, 9.67, 1.76
807936, 0.21, 9.70, 2.25
808960, 0.16, 9.55, 2.06
809984, 0.17, 9.53, 2.02
811008, 0.18, 9.53, 1.78
812032, 0.17, 9.51, 2.10
813056, 0.18, 9.67, 1.95
814080, 0.16, 9.59, 1.85
815104, 0.16, 9.95, 2.68
816128, 0.23, 10.73, 6.50
817152, 0.32, 18.23, 3.49
818176, 0.17, 11.41, 2.54
819200, 0.19, 9.71, 1.88
820224, 0.22, 9.84, 2.59
821248, 0.16, 9.89, 1.91
822272, 0.16, 9.50, 1.81
823296, 0.16, 9.66, 2.12
824320, 0.16, 9.65, 1.88
825344, 0.16, 9.67, 1.92
826368, 0.16, 9.63, 1.84
827392, 0.15, 9.60, 1.83
828416, 0.18, 9.64, 1.91
829440, 0.16, 9.72, 1.99
830464, 0.16, 9.80, 1.89
831488, 0.16, 9.58, 1.71
832512, 0.19, 9.70, 1.93
833536, 0.15, 9.94, 1.84
834560, 0.16, 9.56, 1.80
835584, 0.17, 9.55, 1.82
836608, 0.16, 9.54, 2.39
837632, 0.26, 9.81, 1.94
838656, 0.16, 9.62, 1.82
839680, 0.16, 9.79, 1.88
840704, 0.23, 9.64, 1.99
841728, 0.17, 9.87, 1.99
842752, 0.17, 9.82, 1.83
843776, 0.16, 9.59, 1.94
844800, 0.23, 9.62, 2.28
845824, 0.17, 9.63, 2.87
846848, 0.18, 9.85, 2.17
847872, 0.17, 9.61, 2.13
848896, 0.23, 9.78, 2.08
849920, 0.17, 9.61, 1.86
850944, 0.20, 9.82, 2.81
851968, 0.16, 10.21, 2.08
852992, 0.19, 9.59, 1.83
854016, 0.16, 9.64, 1.99
855040, 0.16, 9.73, 1.84
856064, 0.15, 9.55, 1.74
857088, 0.16, 9.75, 1.81
858112, 0.15, 10.46, 1.89
859136, 0.16, 9.66, 1.81
860160, 0.16, 9.60, 1.86
861184, 0.24, 9.81, 1.78
862208, 0.17, 9.65, 1.75
863232, 0.16, 9.60, 1.92
864256, 0.16, 9.63, 1.76
865280, 0.20, 9.60, 2.06
866304, 0.16, 9.72, 1.83
867328, 0.17, 9.56, 1.84
868352, 0.15, 9.73, 2.33
869376, 0.17, 11.36, 2.04
870400, 0.15, 9.98, 2.02
871424, 0.20, 10.04, 1.89
872448, 0.15, 9.80, 1.82
873472, 0.20, 9.55, 1.97
874496, 0.17, 9.77, 2.12
875520, 0.16, 9.64, 2.04
876544, 0.19, 9.65, 1.88
877568, 0.23, 9.74, 2.26
878592, 0.17, 9.80, 2.03
879616, 0.17, 9.74, 2.01
880640, 0.21, 9.57, 2.10
881664, 0.22, 9.71, 3.03
882688, 0.21, 9.60, 2.05
883712, 0.16, 9.60, 2.07
884736, 0.18, 9.99, 2.21
885760, 0.28, 9.60, 2.08
886784, 0.16, 9.61, 1.87
887808, 0.16, 9.99, 1.91
888832, 0.17, 9.62, 2.21
889856, 0.22, 9.86, 2.07
890880, 0.16, 10.06, 2.03
891904, 0.21, 9.82, 2.74
892928, 0.24, 9.80, 2.14
893952, 0.23, 10.16, 2.52
894976, 0.16, 9.81, 1.82
896000, 0.16, 9.61, 1.86
897024, 0.16, 9.62, 2.00
898048, 0.17, 9.65, 1.89
899072, 0.15, 9.62, 1.89
900096, 0.18, 9.61, 1.82
901120, 0.15, 9.70, 1.76
902144, 0.21, 9.64, 1.92
903168, 0.15, 9.69, 1.84
904192, 0.16, 9.61, 1.84
905216, 0.16, 10.52, 1.90
906240, 0.17, 9.61, 1.89
907264, 0.16, 9.58, 1.95
908288, 0.17, 9.65, 2.46
909312, 0.19, 9.58, 2.09
910336, 0.23, 10.14, 2.58
911360, 0.19, 9.70, 2.31
912384, 0.17, 9.71, 2.30
913408, 0.16, 9.78, 2.12
914432, 0.23, 9.62, 2.19
915456, 0.17, 9.65, 1.85
916480, 0.16, 9.68, 1.94
917504, 0.16, 9.53, 2.06
918528, 0.16, 9.57, 1.87
919552, 0.16, 9.64, 1.86
920576, 0.15, 9.67, 2.17
921600, 0.16, 9.72, 1.84
922624, 0.17, 9.56, 1.91
923648, 0.17, 9.57, 1.93
924672, 0.15, 9.73, 1.85
925696, 0.16, 9.72, 2.00
926720, 0.15, 9.59, 1.93
927744, 0.15, 9.75, 1.93
928768, 0.17, 9.63, 1.93
929792, 0.15, 10.07, 1.86
930816, 0.16, 9.59, 2.26
931840, 0.16, 9.58, 2.00
932864, 0.17, 9.61, 2.08
933888, 0.17, 9.72, 2.05
934912, 0.17, 9.67, 2.49
935936, 0.16, 9.75, 2.07
936960, 0.18, 9.57, 2.09
937984, 0.17, 9.61, 2.13
939008, 0.16, 9.62, 1.98
940032, 0.16, 9.72, 1.94
941056, 0.17, 9.65, 1.95
942080, 0.15, 9.55, 2.06
943104, 0.19, 9.59, 2.14
944128, 0.16, 9.61, 1.91
945152, 0.18, 9.64, 3.30
946176, 0.16, 9.82, 1.94
947200, 0.22, 9.89, 1.94
948224, 0.17, 10.07, 2.11
949248, 0.16, 9.60, 2.10
950272, 0.15, 9.58, 1.84
951296, 0.16, 9.83, 2.07
952320, 0.16, 9.56, 1.96
953344, 0.16, 10.44, 1.93
954368, 0.19, 9.66, 2.27
955392, 0.24, 9.64, 2.22
956416, 0.16, 9.75, 2.04
957440, 0.16, 9.65, 2.14
958464, 0.17, 9.78, 2.14
959488, 0.22, 9.82, 2.40
960512, 0.18, 9.57, 2.00
961536, 0.16, 10.80, 2.42
962560, 0.16, 10.15, 2.22
963584, 0.16, 9.97, 2.21
964608, 0.16, 9.53, 2.01
965632, 0.15, 9.74, 2.19
966656, 0.16, 9.86, 2.10
967680, 0.18, 9.76, 2.05
968704, 0.15, 9.64, 2.18
969728, 0.17, 9.59, 2.58
970752, 0.15, 9.62, 1.93
971776, 0.15, 9.86, 2.08
972800, 0.15, 9.61, 2.08
973824, 0.15, 9.69, 2.05
974848, 0.17, 9.53, 2.04
975872, 0.22, 9.53, 2.09
976896, 0.19, 9.78, 2.08
977920, 0.17, 9.54, 1.99
978944, 0.17, 9.51, 1.99
979968, 0.17, 9.66, 1.84
980992, 0.17, 9.68, 1.88
982016, 0.15, 9.67, 2.02
983040, 0.15, 9.65, 2.05
984064, 0.16, 9.64, 2.42
985088, 0.15, 9.76, 1.97
986112, 0.15, 9.56, 1.93
987136, 0.15, 9.55, 2.09
988160, 0.19, 9.62, 2.36
989184, 0.16, 9.54, 2.25
990208, 0.17, 9.63, 2.34
991232, 0.17, 9.67, 2.41
992256, 0.41, 9.54, 2.31
993280, 0.16, 9.80, 2.26
994304, 0.16, 9.73, 2.18
995328, 0.17, 9.73, 2.53
996352, 0.23, 13.96, 2.88
997376, 0.17, 9.54, 1.91
998400, 0.16, 9.72, 1.93
999424, 0.15, 9.74, 1.90
1000448, 0.16, 9.70, 2.15
1001472, 0.17, 9.61, 2.89
1002496, 0.18, 9.88, 2.48
1003520, 0.18, 9.76, 2.90
1004544, 0.23, 9.75, 2.30
1005568, 0.16, 10.10, 2.09
1006592, 0.17, 9.58, 2.16
1007616, 0.16, 9.64, 2.09
1008640, 0.17, 9.55, 2.40
1009664, 0.15, 9.63, 2.12
1010688, 0.18, 9.65, 2.37
1011712, 0.19, 9.59, 2.08
1012736, 0.25, 9.83, 2.48
1013760, 0.17, 9.57, 2.55
1014784, 0.16, 10.48, 1.96
1015808, 0.15, 9.75, 1.98
1016832, 0.18, 9.61, 2.23
1017856, 0.19, 9.66, 2.03
1018880, 0.16, 9.93, 2.19
1019904, 0.17, 12.53, 3.79
1020928, 0.16, 9.64, 2.04
1021952, 0.15, 9.53, 2.11
1022976, 0.16, 9.61, 2.23
1024000, 0.16, 9.68, 2.31
1025024, 0.16, 9.52, 2.33
1026048, 0.15, 9.56, 2.82
1027072, 0.18, 9.66, 2.53
1028096, 0.17, 9.93, 2.22
1029120, 0.23, 9.79, 2.31
1030144, 0.16, 9.81, 2.20
1031168, 0.17, 9.67, 2.10
1032192, 0.17, 9.65, 2.62
1033216, 0.23, 9.61, 2.27
1034240, 0.16, 9.54, 2.11
1035264, 0.15, 9.83, 2.38
1036288, 0.17, 9.77, 2.73
1037312, 0.16, 9.88, 2.10
1038336, 0.15, 9.72, 2.11
1039360, 0.16, 9.59, 2.01
1040384, 0.15, 9.70, 2.14
1041408, 0.17, 10.07, 2.25
1042432, 0.19, 9.66, 2.41
1043456, 0.18, 9.72, 2.53
1044480, 0.21, 9.68, 2.49
1045504, 0.23, 9.75, 2.22
1046528, 0.15, 9.55, 2.64
1047552, 0.16, 9.78, 2.01
1048576, 0.16, 9.56, 2.02
1049600, 0.19, 9.67, 2.05
1050624, 0.16, 9.60, 2.01
1051648, 0.16, 9.99, 2.26
1052672, 0.17, 9.59, 2.16
1053696, 0.16, 9.67, 2.51
1054720, 0.16, 9.92, 2.70
1055744, 0.18, 9.69, 2.87
1056768, 0.19, 9.61, 2.81
1057792, 0.25, 9.75, 2.32
1058816, 0.15, 10.03, 2.08
1059840, 0.15, 9.71, 1.98
1060864, 0.15, 9.91, 2.14
1061888, 0.17, 9.62, 2.24
1062912, 0.15, 9.86, 2.17
1063936, 0.20, 9.57, 2.49
1064960, 0.17, 9.73, 2.33
1065984, 0.23, 9.63, 2.45
1067008, 0.15, 9.87, 2.09
1068032, 0.16, 9.94, 2.25
1069056, 0.16, 9.69, 2.08
1070080, 0.19, 9.59, 2.07
1071104, 0.15, 9.61, 2.33
1072128, 0.17, 9.63, 2.14
1073152, 0.17, 9.73, 2.15
1074176, 0.16, 9.58, 2.13
1075200, 0.15, 9.59, 2.07
1076224, 0.18, 9.99, 2.08
1077248, 0.15, 9.63, 2.11
1078272, 0.17, 9.63, 2.44
1079296, 0.15, 9.64, 2.64
1080320, 0.19, 9.58, 2.53
1081344, 0.16, 9.73, 2.75
1082368, 0.22, 9.89, 2.42
1083392, 0.19, 9.60, 2.44
1084416, 0.15, 9.73, 2.39
1085440, 0.15, 9.57, 2.11
1086464, 0.16, 9.72, 2.32
1087488, 0.16, 9.65, 2.29
1088512, 0.16, 9.56, 2.28
1089536, 0.15, 9.79, 2.11
1090560, 0.16, 9.58, 2.16
1091584, 0.19, 9.67, 2.10
1092608, 0.17, 9.65, 2.15
1093632, 0.16, 9.57, 2.22
1094656, 0.16, 9.70, 2.21
1095680, 0.16, 9.60, 2.29
1096704, 0.16, 9.54, 2.49
1097728, 0.16, 9.69, 2.31
1098752, 0.22, 9.73, 2.73
1099776, 0.19, 12.47, 2.57
1100800, 0.15, 9.73, 2.46
1101824, 0.17, 9.62, 2.30
1102848, 0.26, 10.35, 2.38
1103872, 0.15, 9.78, 2.30
1104896, 0.16, 9.72, 2.33
1105920, 0.16, 9.67, 2.32
1106944, 0.16, 10.20, 2.13
1107968, 0.15, 9.63, 2.37
1108992, 0.16, 9.54, 2.21
1110016, 0.15, 9.58, 2.23
1111040, 0.16, 9.74, 2.34
1112064, 0.17, 9.53, 2.22
1113088, 0.20, 9.58, 2.42
1114112, 0.18, 9.61, 2.59
1115136, 0.25, 10.55, 2.81
1116160, 0.17, 9.97, 2.45
1117184, 0.22, 9.56, 2.69
1118208, 0.18, 9.58, 2.39
1119232, 0.23, 9.74, 2.56
1120256, 0.18, 9.78, 2.56
1121280, 0.19, 9.62, 2.35
1122304, 0.19, 9.78, 2.54
1123328, 0.24, 9.70, 2.41
1124352, 0.15, 9.68, 2.12
1125376, 0.16, 9.59, 2.53
1126400, 0.16, 9.66, 2.13
1127424, 0.17, 9.53, 2.41
1128448, 0.15, 9.60, 2.47
1129472, 0.16, 9.57, 2.49
1130496, 0.16, 9.94, 2.45
1131520, 0.17, 9.67, 2.63
1132544, 0.16, 9.67, 2.29
1133568, 0.15, 9.74, 2.37
1134592, 0.17, 9.58, 2.33
1135616, 0.17, 9.71, 2.20
1136640, 0.15, 9.66, 2.31
1137664, 0.15, 9.61, 2.24
1138688, 0.17, 9.60, 2.20
1139712, 0.18, 9.63, 2.41
1140736, 0.17, 12.51, 2.68
1141760, 0.16, 9.78, 2.38
1142784, 0.15, 9.52, 2.30
1143808, 0.18, 9.61, 2.32
1144832, 0.16, 9.52, 2.48
1145856, 0.15, 9.75, 2.31
1146880, 0.16, 9.62, 2.27
1147904, 0.16, 9.71, 2.28
1148928, 0.15, 9.75, 2.15
1149952, 0.18, 9.72, 2.52
1150976, 0.19, 9.88, 2.65
1152000, 0.25, 15.61, 5.58
1153024, 0.21, 25.31, 6.65
1154048, 0.31, 14.63, 2.82
1155072, 0.16, 9.77, 2.42
1156096, 0.17, 9.55, 2.39
1157120, 0.15, 9.68, 2.20
1158144, 0.16, 9.68, 2.69
1159168, 0.15, 9.62, 2.52
1160192, 0.17, 9.72, 2.50
1161216, 0.16, 9.69, 2.47
1162240, 0.16, 9.51, 2.43
1163264, 0.16, 9.58, 2.37
1164288, 0.20, 14.19, 2.64
1165312, 0.16, 9.62, 2.55
1166336, 0.16, 9.68, 2.48
1167360, 0.16, 9.59, 2.48
1168384, 0.16, 9.69, 2.51
1169408, 0.16, 10.51, 2.49
1170432, 0.16, 9.61, 2.43
1171456, 0.16, 9.73, 2.40
1172480, 0.16, 9.73, 2.60
1173504, 0.18, 9.77, 3.26
1174528, 0.23, 9.78, 2.49
1175552, 0.15, 9.74, 2.33
1176576, 0.16, 9.68, 2.26
1177600, 0.15, 9.62, 2.74
1178624, 0.20, 9.58, 2.78
1179648, 0.20, 9.66, 3.23
1180672, 0.20, 9.59, 2.64
1181696, 0.19, 9.64, 2.52
1182720, 0.16, 9.68, 2.63
1183744, 0.19, 9.64, 2.40
1184768, 0.16, 9.62, 2.70
1185792, 0.16, 9.56, 2.55
1186816, 0.17, 9.59, 2.60
1187840, 0.15, 9.69, 2.49
1188864, 0.16, 9.74, 2.45
1189888, 0.16, 9.49, 2.74
1190912, 0.19, 9.69, 2.70
1191936, 0.21, 9.64, 2.81
1192960, 0.23, 9.72, 2.71
1193984, 0.19, 9.75, 2.45
1195008, 0.20, 9.65, 2.69
1196032, 0.19, 9.57, 2.70
1197056, 0.21, 9.80, 3.30
1198080, 0.18, 11.45, 3.98
1199104, 0.17, 12.37, 7.51
1200128, 0.24, 14.03, 4.03
1201152, 0.19, 11.49, 4.73
1202176, 0.21, 11.16, 3.36
1203200, 0.19, 10.84, 3.13
1204224, 0.17, 9.66, 2.56
1205248, 0.15, 10.21, 2.62
1206272, 0.17, 9.81, 2.80
1207296, 0.19, 9.85, 3.13
1208320, 0.20, 9.59, 2.73
1209344, 0.22, 9.57, 2.57
1210368, 0.19, 9.69, 2.68
1211392, 0.19, 10.34, 2.75
1212416, 0.18, 9.57, 3.21
1213440, 0.23, 9.71, 3.58
1214464, 0.19, 9.97, 2.57
1215488, 0.18, 10.07, 2.91
1216512, 0.19, 9.90, 2.93
1217536, 0.24, 9.60, 2.91
1218560, 0.21, 9.70, 2.50
1219584, 0.17, 9.64, 2.57
1220608, 0.20, 10.32, 2.82
1221632, 0.22, 9.80, 2.80
1222656, 0.19, 9.63, 2.65
1223680, 0.19, 9.66, 2.99
1224704, 0.18, 9.56, 2.50
1225728, 0.28, 9.68, 2.65
1226752, 0.15, 9.76, 2.72
1227776, 0.18, 9.86, 2.36
1228800, 0.16, 9.70, 2.34
1229824, 0.17, 9.60, 2.65
1230848, 0.17, 9.62, 2.31
1231872, 0.16, 9.80, 2.79
1232896, 0.16, 9.65, 2.49
1233920, 0.16, 9.60, 2.35
1234944, 0.15, 9.79, 2.62
1235968, 0.16, 10.31, 2.23
1236992, 0.15, 9.68, 2.47
1238016, 0.16, 9.70, 2.41
1239040, 0.15, 9.70, 2.63
1240064, 0.18, 9.68, 2.43
1241088, 0.15, 9.95, 2.53
1242112, 0.16, 15.56, 3.19
1243136, 0.26, 11.56, 4.28
1244160, 0.25, 24.04, 5.34
1245184, 0.16, 11.56, 4.21
1246208, 0.16, 18.24, 3.25
1247232, 0.21, 20.55, 4.74
1248256, 0.20, 13.49, 3.59
1249280, 0.20, 20.83, 4.59
1250304, 0.24, 32.28, 4.21
1251328, 0.16, 10.58, 3.41
1252352, 0.17, 10.41, 4.23
1253376, 0.25, 11.34, 3.12
1254400, 0.19, 10.63, 4.54
1255424, 0.29, 10.70, 3.24
1256448, 0.16, 19.80, 3.31
1257472, 0.18, 11.47, 4.07
1258496, 0.21, 11.26, 3.39
1259520, 0.18, 12.99, 3.45
1260544, 0.18, 10.88, 3.35
1261568, 0.28, 32.27, 7.80
1262592, 0.38, 15.49, 3.22
1263616, 0.17, 11.46, 3.97
1264640, 0.18, 11.40, 5.08
1265664, 0.24, 14.02, 6.66
1266688, 0.25, 12.04, 3.17
1267712, 0.21, 12.48, 3.14
1268736, 0.53, 12.94, 4.56
1269760, 0.27, 11.68, 3.24
1270784, 0.46, 13.38, 4.36
1271808, 0.17, 15.79, 3.25
1272832, 0.44, 12.04, 4.46
1273856, 0.37, 15.00, 3.03
1274880, 0.17, 14.94, 3.74
1275904, 0.17, 13.51, 3.29
1276928, 0.36, 15.41, 5.57
1277952, 0.20, 15.31, 3.79
1278976, 0.20, 17.12, 3.56
1280000, 0.17, 15.19, 3.93
1281024, 0.20, 13.89, 5.20
1282048, 0.24, 13.57, 4.00
1283072, 0.35, 16.32, 3.42
1284096, 0.22, 11.64, 3.50
1285120, 0.19, 11.98, 3.17
1286144, 0.35, 13.16, 6.66
1287168, 0.20, 15.16, 3.12
1288192, 0.24, 18.11, 6.59
1289216, 0.22, 17.11, 3.26
1290240, 0.18, 15.11, 3.23
1291264, 0.18, 15.08, 3.40
1292288, 0.18, 16.52, 4.12
1293312, 0.16, 15.45, 3.24
1294336, 1.09, 13.75, 2.96
1295360, 1.16, 17.52, 4.27
1296384, 0.17, 14.21, 4.91
1297408, 0.29, 18.07, 3.93
1298432, 0.17, 15.75, 3.09
1299456, 0.18, 16.93, 5.53
1300480, 0.24, 13.83, 4.91
1301504, 0.22, 15.42, 5.30
1302528, 0.60, 29.91, 7.03
1303552, 0.22, 22.92, 3.36
1304576, 0.29, 17.30, 5.94
1305600, 2.48, 35.81, 6.93
1306624, 0.36, 16.22, 3.96
1307648, 0.20, 17.72, 5.24
1308672, 0.35, 13.76, 3.64
1309696, 0.16, 10.76, 3.23
1310720, 0.16, 11.53, 3.44
1311744, 0.17, 10.90, 4.89
1312768, 0.21, 10.73, 5.15
1313792, 0.18, 12.09, 5.20
1314816, 0.31, 13.25, 3.25
1315840, 0.32, 10.15, 5.36
1316864, 0.19, 10.73, 4.41
1317888, 0.17, 9.99, 5.54
1318912, 0.25, 10.24, 5.51
1319936, 0.23, 10.34, 3.99
1320960, 0.34, 10.97, 3.64
1321984, 0.28, 11.23, 4.02
1323008, 0.16, 9.80, 2.76
1324032, 0.24, 10.84, 3.57
1325056, 0.20, 9.70, 3.62
1326080, 0.20, 11.60, 3.66
1327104, 0.21, 9.73, 3.64
1328128, 0.24, 9.55, 2.83
1329152, 0.16, 9.61, 2.62
1330176, 0.18, 10.04, 2.53
1331200, 0.16, 9.76, 2.83
1332224, 0.15, 9.79, 3.51
1333248, 0.22, 10.67, 3.88
1334272, 0.19, 9.92, 3.69
1335296, 0.19, 10.03, 3.55
1336320, 0.26, 9.78, 2.95
1337344, 0.16, 9.85, 2.69
1338368, 0.16, 9.71, 2.75
1339392, 0.16, 9.81, 2.68
1340416, 0.17, 9.65, 3.04
1341440, 0.17, 9.84, 3.06
1342464, 0.25, 22.66, 3.23
1343488, 0.17, 13.80, 41.33
1344512, 0.24, 11.67, 3.18
1345536, 0.18, 11.41, 4.91
1346560, 0.18, 36.32, 5.24
1347584, 0.16, 19.40, 8.14
1348608, 0.72, 17.15, 3.23
1349632, 0.18, 12.37, 3.35
1350656, 0.18, 19.23, 4.02
1351680, 0.17, 12.89, 3.67
1352704, 0.20, 21.07, 6.02
1353728, 0.23, 11.57, 12.56
1354752, 0.21, 15.51, 5.62
1355776, 0.49, 12.13, 6.57
1356800, 0.23, 15.52, 3.48
1357824, 0.22, 13.17, 4.28
1358848, 0.50, 19.83, 6.23
1359872, 0.24, 35.75, 13.65
1360896, 1.72, 76.77, 8.50
1361920, 2.84, 80.81, 6.21
1362944, 0.40, 32.57, 4.52
1363968, 0.17, 12.30, 3.26
1364992, 0.21, 11.96, 11.41
1366016, 0.17, 14.09, 3.64
1367040, 0.49, 11.21, 3.45
1368064, 0.18, 15.57, 3.54
1369088, 0.18, 14.88, 4.27
1370112, 0.18, 12.26, 3.42
1371136, 0.17, 15.44, 5.12
1372160, 0.17, 11.86, 4.21
1373184, 0.17, 11.75, 4.49
1374208, 0.23, 11.76, 4.77
1375232, 0.21, 20.93, 17.26
1376256, 0.22, 14.40, 6.67
1377280, 0.18, 11.05, 3.53
1378304, 0.18, 11.99, 3.29
1379328, 0.17, 10.92, 3.49
1380352, 0.19, 11.63, 3.64
1381376, 0.26, 13.00, 4.22
1382400, 0.18, 52.97, 5.14
1383424, 0.21, 12.31, 5.11
1384448, 0.18, 11.74, 5.33
1385472, 0.18, 11.68, 5.70
1386496, 0.24, 11.45, 6.00
1387520, 0.22, 16.80, 5.62
1388544, 0.19, 11.19, 5.20
1389568, 0.18, 11.44, 3.58
1390592, 0.17, 11.13, 3.34
1391616, 0.31, 12.71, 3.85
1392640, 0.19, 11.75, 3.17
1393664, 0.18, 12.09, 6.39
1394688, 0.18, 11.74, 5.20
1395712, 0.22, 15.83, 5.15
1396736, 0.19, 14.81, 3.76
1397760, 0.19, 12.95, 5.16
1398784, 0.23, 16.12, 4.65
1399808, 0.17, 12.77, 6.05
1400832, 0.23, 43.40, 3.69
1401856, 0.18, 12.36, 3.22
1402880, 0.18, 45.98, 8.20
1403904, 0.43, 38.44, 3.97
1404928, 0.24, 10.18, 2.80
1405952, 0.17, 9.80, 3.39
1406976, 0.21, 10.80, 3.42
1408000, 0.19, 11.14, 3.64
1409024, 0.22, 9.98, 3.76
1410048, 0.22, 9.89, 3.41
1411072, 0.19, 10.05, 4.13
1412096, 0.18, 9.68, 3.42
1413120, 0.19, 9.95, 4.44
1414144, 0.24, 9.65, 3.53
1415168, 0.20, 9.79, 4.37
1416192, 0.21, 9.86, 3.49
1417216, 0.20, 12.22, 3.33
1418240, 0.25, 10.01, 3.36
1419264, 0.22, 9.82, 2.83
1420288, 0.16, 9.87, 3.19
1421312, 0.17, 10.47, 3.05
1422336, 0.21, 9.64, 3.02
1423360, 0.16, 9.79, 2.85
1424384, 0.16, 9.87, 2.97
1425408, 0.16, 10.01, 2.77
1426432, 0.24, 9.70, 2.88
1427456, 0.17, 9.98, 2.86
1428480, 0.16, 9.96, 2.88
1429504, 0.17, 9.74, 2.90
1430528, 0.16, 9.96, 3.00
1431552, 0.17, 9.71, 2.80
1432576, 0.16, 10.00, 3.02
1433600, 0.16, 9.86, 3.18
1434624, 0.16, 9.86, 3.21
1435648, 0.21, 10.26, 3.04
1436672, 0.17, 9.92, 3.16
1437696, 0.18, 9.75, 3.43
1438720, 0.17, 9.84, 3.98
1439744, 0.20, 9.88, 3.98
1440768, 0.21, 9.92, 4.36
1441792, 0.21, 10.26, 3.59
1442816, 0.25, 9.68, 3.73
1443840, 0.22, 9.86, 3.69
1444864, 0.24, 10.02, 4.24
1445888, 0.20, 10.25, 3.02
1446912, 0.17, 9.90, 3.10
1447936, 0.16, 9.83, 3.36
1448960, 0.18, 9.82, 2.89
1449984, 0.17, 9.81, 3.03
1451008, 0.16, 9.74, 2.82
1452032, 0.17, 9.70, 3.28
1453056, 0.17, 10.33, 3.00
1454080, 0.18, 9.71, 2.99
1455104, 0.16, 10.11, 3.18
1456128, 0.16, 9.64, 3.42
1457152, 0.17, 9.76, 3.34
1458176, 0.22, 9.65, 3.56
1459200, 0.21, 9.79, 3.90
1460224, 0.22, 9.76, 3.98
1461248, 0.21, 10.09, 4.10
1462272, 0.22, 9.74, 3.77
1463296, 0.23, 11.21, 3.84
1464320, 0.22, 14.02, 3.61
1465344, 0.24, 11.43, 3.62
1466368, 0.20, 9.99, 4.85
1467392, 0.23, 9.71, 3.09
1468416, 0.17, 15.85, 3.79
1469440, 0.18, 11.50, 3.18
1470464, 0.17, 10.64, 3.40
1471488, 0.17, 12.01, 3.28
1472512, 0.18, 12.33, 3.68
1473536, 0.18, 12.04, 3.23
1474560, 0.24, 13.57, 3.47
1475584, 0.18, 11.62, 6.00
1476608, 0.17, 13.92, 5.63
1477632, 0.22, 11.63, 4.70
1478656, 0.25, 10.95, 5.56
1479680, 0.17, 15.86, 3.49
1480704, 0.18, 12.73, 3.51
1481728, 0.18, 10.99, 3.19
1482752, 0.17, 23.05, 9.77
1483776, 0.44, 27.99, 3.49
1484800, 0.17, 14.00, 3.27
1485824, 0.17, 14.50, 3.99
1486848, 0.17, 12.76, 3.64
1487872, 0.22, 15.19, 5.98
1488896, 0.20, 11.86, 4.94
1489920, 0.22, 15.78, 7.29
1490944, 0.24, 11.59, 6.37
1491968, 0.24, 13.00, 3.97
1492992, 0.17, 10.85, 3.39
1494016, 0.17, 15.74, 3.52
1495040, 0.38, 19.94, 4.68
1496064, 0.37, 12.02, 4.01
1497088, 0.21, 10.43, 3.04
1498112, 0.20, 10.32, 3.56
1499136, 0.19, 9.95, 2.89
1500160, 0.17, 9.88, 3.42
1501184, 0.16, 10.20, 3.37
1502208, 0.16, 9.79, 3.32
1503232, 0.20, 10.94, 3.92
1504256, 0.22, 9.82, 3.29
1505280, 0.16, 9.72, 3.01
1506304, 0.16, 9.64, 2.92
1507328, 0.16, 9.78, 3.03
1508352, 0.16, 10.40, 3.00
1509376, 0.16, 9.78, 3.62
1510400, 0.17, 10.64, 3.17
1511424, 0.17, 10.02, 3.64
1512448, 0.16, 9.85, 3.00
1513472, 0.16, 9.67, 3.04
1514496, 0.16, 9.79, 2.90
1515520, 0.16, 10.07, 2.98
1516544, 0.17, 9.77, 2.89
1517568, 0.17, 10.28, 3.01
1518592, 0.16, 9.66, 4.62
1519616, 0.18, 11.59, 3.09
1520640, 0.18, 9.73, 3.91
1521664, 0.21, 9.80, 3.97
1522688, 0.20, 10.05, 4.25
1523712, 0.20, 9.92, 4.37
1524736, 0.25, 10.07, 3.58
1525760, 0.19, 10.10, 3.53
1526784, 0.16, 10.21, 4.37
1527808, 0.19, 10.44, 3.15
1528832, 0.16, 9.78, 4.12
1529856, 0.21, 9.89, 4.26
1530880, 0.19, 10.26, 4.34
1531904, 0.21, 9.93, 4.52
1532928, 0.25, 10.19, 3.80
1533952, 0.20, 9.89, 4.02
1534976, 0.21, 11.84, 3.85
1536000, 0.22, 9.88, 3.32
1537024, 0.16, 10.08, 3.79
1538048, 0.21, 10.33, 3.84
1539072, 0.16, 9.95, 3.16
1540096, 0.22, 10.03, 3.37
1541120, 0.23, 9.94, 4.52
1542144, 0.21, 13.18, 3.89
1543168, 0.21, 11.25, 3.95
1544192, 0.24, 10.62, 4.61
1545216, 0.25, 9.98, 4.11
1546240, 0.22, 9.87, 5.48
1547264, 0.35, 30.39, 7.00
1548288, 0.20, 10.23, 3.63
1549312, 0.16, 9.85, 4.19
1550336, 0.20, 10.55, 3.12
1551360, 0.16, 10.40, 3.17
